Year,Month,ID,sex,Carapace width (lateral spines) (mm),Carapace length (mm),Carapace width (base) (mm),Maturity,Claw Height (mm),Abdomen width (mm),carapace_width_spines,chela_height,abdomen_width
2020,October,BOCOURTI,F,96.01,49.4,80.8,m,14.44,36.22,96.01,14.44,36.22
2021,July,BOCOURTI,F,100.17,49.64,82.5,M,12.55,35.32,100.17,12.55,35.32
2021,January,SAPIDUS,F,123,56,95,M,19,40,123,19,40
2021,January,BOCOURTI,F,100.21,52.94,88.34,M,18.95,37.49,100.21,18.95,37.49
2021,January,SAPIDUS,F,110,50,88,M,16,35,110,16,35
2021,January,BOCOURTI,F,100.56,51.17,82.48,M,12.3,37.07,100.56,12.3,37.07
2021,January,SAPIDUS,F,125,60,103,M,16,43,125,16,43
2021,October,SAPIDUS,F,113.31,51.8,89.26,M,17.25,37.61,113.31,17.25,37.61
2020,October,SAPIDUS,F,132.83,59.42,102.68,m,19.77,43.73,132.83,19.77,43.73
2021,October,SAPIDUS,F,125,61.5,104.1,M,15.2,40.8,125,15.2,40.8
2021,January,SAPIDUS,F,126,60,105,M,20,43,126,20,43
2021,October,BOCOURTI,F,101.16,55.22,84.95,M,14.79,38.41,101.16,14.79,38.41
2021,October,SAPIDUS,F,124.87,56.47,97.9,M,16.98,41.56,124.87,16.98,41.56
2021,April,ORNATUS,F,95.87,50.05,79.23,M,15.69,36.55,95.87,15.69,36.55
2020,October,SAPIDUS,F,125.42,56.11,75,m,16.6,41.4,125.42,16.6,41.4
2021,October,SAPIDUS,F,124.8,56.9,97.5,M,18.8,40.6,124.8,18.8,40.6
2021,October,BOCOURTI,F,98.94,49.09,82.46,M,15.84,36.92,98.94,15.84,36.92
2021,January,SAPIDUS,F,123.74,57.25,101.18,M,17.47,42.43,123.74,17.47,42.43
2021,January,SAPIDUS,F,121,50,95,M,10,40,121,10,40
2021,October,BOCOURTI,F,116.2,59.9,95,M,17.4,38.1,116.2,17.4,38.1
2021,April,ORNATUS,F,106.96,60.51,86.07,M,15.51,39.31,106.96,15.51,39.31
2021,July,BOCOURTI,F,104.41,52.86,88.76,M,14.39,36.97,104.41,14.39,36.97
2020,October,SAPIDUS,F,123.22,56.62,96.32,m,16.52,40.68,123.22,16.52,40.68
2021,January,SAPIDUS,F,120,55,95,M,16,40,120,16,40
2021,October,BOCOURTI,F,111.7,55.51,91.56,M,16.92,38.78,111.7,16.92,38.78
2020,October,SAPIDUS,F,118,59,74.4,m,NA,18.1,118,NA,18.1
2021,January,SAPIDUS,F,141,66,115,M,22,47,141,22,47
2020,October,BOCOURTI,F,112,55.41,75.4,m,18.12,39.1,112,18.12,39.1
2021,January,SAPIDUS,F,118,57,97,M,16,40,118,16,40
2021,January,BOCOURTI,F,101,57,89,M,17,36,101,17,36
2021,April,BOCOURTI,F,97.68,50.96,81.25,M,15.19,33.47,97.68,15.19,33.47
2021,October,SAPIDUS,F,131.2,58.7,101.5,M,-,41.7,131.2,NA,41.7
2021,October,SAPIDUS,M,140.15,69.03,116.6,M,22.16,44.14,140.15,22.16,44.14
2021,October,SIMILIS,M,109.2,47.4,82,M,26.5,30.5,109.2,26.5,30.5
2021,October,SIMILIS,M,123.4,52.3,90.6,M,18.3,37.4,123.4,18.3,37.4
2021,October,SAPIDUS,M,131.3,59.8,104.7,M,20.2,37.2,131.3,20.2,37.2
2021,October,BOCOURTI,M,117.24,61.56,101.89,M,27.16,36,117.24,27.16,36
2021,January,SAPIDUS,M,132,65,109,M,24,40,132,24,40
2021,January,BOCOURTI,M,114.16,63.18,99.73,M,19.91,37.1,114.16,19.91,37.1
2021,January,BOCOURTI,M,108.2,61.25,95.62,M,18.75,37.12,108.2,18.75,37.12
2021,January,BOCOURTI,M,106.1,60.97,94.34,M,21.96,35.96,106.1,21.96,35.96
2021,July,BOCOURTI,M,108.86,56.66,92.26,M,15.59,26.71,108.86,15.59,26.71
2021,January,BOCOURTI,M,107,63,90,M,23,35,107,23,35
2021,January,BOCOURTI,M,89,50,83,M,17,28,89,17,28
2021,April,SAPIDUS,M,110.42,48.15,81.58,M,13.45,21.22,110.42,13.45,21.22
2021,April,BOCOURTI,M,99.55,44.34,75.37,M,13.15,21.4,99.55,13.15,21.4
2021,April,BOCOURTI,M,108.78,53.97,87.41,M,14.67,25.6,108.78,14.67,25.6
2021,April,SAPIDUS,M,99.13,52.02,83.75,M,13.23,31.74,99.13,13.23,31.74
2021,April,BOCOURTI,M,96.14,52.36,81.63,M,14.52,25.28,96.14,14.52,25.28
2021,April,BOCOURTI,M,88.29,46.95,72.35,M,12.6,22.95,88.29,12.6,22.95
2021,April,SIMILIS,M,91.73,40.73,70.9,M,15.71,25.16,91.73,15.71,25.16
2021,April,SIMILIS,M,105.27,48,84.41,M,19.85,31.4,105.27,19.85,31.4
