"Date","Station","Year_Month","ID","sex","weight (g)","Carapace width (base) (mm)","Carapace width (lateral spines) (mm)","Carapace length (mm)","Maturity","Ovigerous"
"10/21/20","AP","2020-10","SIMILIS","M",75.71,81.23,106.9,49.17,NA,0
"10/21/20","BC","2020-10","SIMILIS","M",101.71,95.87,125.57,56.11,NA,0
"10/21/20","BC","2020-10","SIMILIS","M",76.36,82.44,109.78,47.84,NA,0
"10/21/20","IM","2020-10","BOCOURTI","M",180.5,106.03,117.02,66.43,NA,0
"10/21/20","IM","2020-10","BOCOURTI","M",131.58,95.07,106.92,60.17,NA,0
"10/21/20","IM","2020-10","ORNATUS","M",64.67,80.36,106.74,46.43,NA,0
"10/17/20","BC","2020-10","BOCOURTI","M",120.6,76.32,109.15,56.69,"-",0
"4/19/21","AP","2021-04","BOCOURTI","F",86.37,84.14,99.12,51.06,"M",1
"10/15/21","AP","2021-10","ORNATUS","F",48.93,70.4,91.61,40.7,NA,1
"10/13/21","AP","2021-10","BOCOURTI","F",88.8,87.83,103.71,51.92,"M",1
"10/13/21","AP","2021-10","ORNATUS","F",63.45,78.71,101.5,45.36,"M",1
"7/13/21","BC","2021-07","SIMILIS","F",47.52,75.49,94.38,43.28,"M",1
"10/14/21","AP","2021-10","BOCOURTI","F",49,73.8,91.2,46.3,"M",1
"7/13/21","BC","2021-07","SIMILIS","F",71.09,76.7,99.9,45.5,"M",1
"4/19/21","AP","2021-04","BOCOURTI","F",98.15,85.95,97.67,52.22,"M",1
"4/20/21","BC","2021-04","SIMILIS","F",54.18,72.69,96.33,46.7,"M",1
"4/19/21","AP","2021-04","BOCOURTI","F",62.07,74.18,85.14,47.75,"M",1
"4/19/21","AP","2021-04","SAPIDUS","F",83.02,89.93,108.56,62.17,"M",1
"1/20/21","AP","2021-01","SAPIDUS","F",128.23,97,125,55,"M",1
"4/20/21","BC","2021-04","SIMILIS","F",38.62,64.93,82.15,38.4,"M",1
"10/15/21","AP","2021-10","SIMILIS","F",41.7,68,88.3,39.8,NA,1
"4/19/21","BC","2021-04","SIMILIS","F",51.74,71.26,93.64,42.92,"M",1
"10/14/21","AP","2021-10","SAPIDUS","F",80.13,84.52,107.23,48.88,"M",1
"10/14/21","DY","2021-10","SAPIDUS","F",68.49,84.69,103.15,48.84,"M",1
"10/15/21","DY","2021-10","BOCOURTI","F",NA,79,94.4,48.9,NA,1
"4/19/21","BC","2021-04","SIMILIS","F",52.1,71.37,91.25,43.87,"M",1
"7/13/21","BC","2021-07","SIMILIS","F",63.14,78.56,95.23,93.21,"M",1
"10/13/21","AP","2021-10","SIMILIS","F",49.14,71.86,86.12,41.56,"M",1
"10/15/21","DY","2021-10","BOCOURTI","F",86.33,81.59,100.38,50.48,NA,1
"7/14/21","BC","2021-07","SIMILIS","F",57.49,74.67,94.5,43.48,"M",1
"10/14/21","AP","2021-10","BOCOURTI","F",101.37,88.71,105.37,54.59,"M",1
"10/20/20","IM","2020-10","SAPIDUS","F",83.67,90.54,114.4,53.96,NA,1
"10/15/21","DY","2021-10","BOCOURTI","F",87.11,88.02,105.06,54.49,NA,1
"10/20/20","IM","2020-10","BOCOURTI","F",53.91,76.54,92.77,47.47,"m",1
"10/20/20","DY","2020-10","ORNATUS","F",148.59,97.62,115.24,58.95,NA,1
"4/21/21","BC","2021-04","SIMILIS","F",49.15,71.93,93.79,42.8,"M",1
"4/21/21","BC","2021-04","SIMILIS","F",63.43,79.2,102.15,45.7,"M",1
"10/20/20","AP","2020-10","BOCOURTI","F",NA,NA,NA,NA,"-",1
"4/21/21","BC","2021-04","SIMILIS","F",53.85,71.45,94.62,42.6,"M",1
"7/14/21","DY","2021-07","ORNATUS","F",117.5,90.59,107.25,55.6,"M",1
"10/20/20","IM","2020-10","BOCOURTI","F",103,60.3,98,51,"n",1
"10/21/20","AP","2020-10","SAPIDUS","F",97.34,90.3,116.75,53.17,NA,1
